Retail Branding,Marketing Name,Device,Model
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,BUZZ 1 Lite
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,BUZZ 1 Plus
ACE France,URBAN 1,URBAN_1,URBAN 1
ACE France,URBAN 2,URBAN_2,URBAN 2
ACE France,URBAN 3,URBAN_3E,URBAN 3
ACKEES,V10401,V10401,V10401
ACT,ACT4K1007,IPBox,ACT4K1007
ACT,ACT4K2020,HP40A,ACT4K2020
ACTECK,AC_934312,AC_934312,AC_934312
ADOC,D30,D30,D30
ADOC,M3,M3,M3
ADVAN,ADVANNASAPro,ADVANNASAPro,ADVANNASAPro
ADVAN,TAB A8,ADVAN_TAB_A8,8004
AEEZO,TK701,TK701,TK701
AEEZO,TK701_EEA,TK701_EEA,TK701_EEA
AEEZO,TK801,TK801,TK801
AEEZO,TK806,TK806,TK806
AEEZO,TK806_EEA,TK806_EEA,TK806_EEA
AEEZO,TK809,TK809,TK809
AEEZO,TK809_EEA,TK809_EEA,TK809_EEA
AEEZO,TP1001,TP1001,TP1001
AEEZO,TP901,TP901,TP901
AG Mobile,AG BOOST 2,BOOST2,E4010
AG Mobile,AG Flair,AG_Flair,Flair
AG Mobile,AG Go Tab Access 2,AG_Go_Tab_Access_2,AG_Go_Tab_Access_2
AG Mobile,AG Ultra2,AG_Ultra2,Ultra 2
AG Mobile,AGM  H1,HSSDM450QC,AGM H1
AG Mobile,AGM A10,SHARKL5,AGM A10
AG Mobile,AGM A10,SHARKL5,Android
AG Mobile,AGM A9,HSSDM450QC,AGM A9
AG Mobile,AGM A9,HSSDM450QC,Android
AG Mobile,AGM X3,T91EUE1,AGM X3
AG Mobile,AG_Go-Tab_Access,md789hwag,AG Go-Tab Access
AG Mobile,AG_Tab_7_0,AG_Tab_7_0,AG_Tab_7_0
AG Mobile,Boost,Boost,Boost
AG Mobile,Chacer,Chacer,Chacer
AG Mobile,Freedom Access,Freedom_Access,Freedom Access
AG Mobile,Freedom E,Freedom_E,Freedom E
AG Mobile,Freedom Plus LTE,Freedom_Plus_LTE,Freedom Plus LTE
AG Mobile,Ghost,Ghost,Ghost
AG Mobile,Glow,Glow,Glow
AG Mobile,HASHTAG,Hashtag,Hashtag
AG Mobile,Hype,Hype,Hype
AG Mobile,Neon,Neon,Neon
AG Mobile,Quest,Quest,Quest
AG Mobile,Rage,Rage,Rage
AG Mobile,STYLE PLUS,STYLE_PLUS,STYLE_PLUS
AG Mobile,Shine,Shine,Shine
AG Mobile,Status,Status,Status
AG Mobile,Style,Style,Style
AG Mobile,Style_2,Style_2,Style 2
AG Mobile,Swift,Swift,Swift
AG Mobile,Swift_Plus,Swift_Plus,Swift_Plus
AG Mobile,ULTRA,Ultra,Ultra
AG Mobile,Zenith,Zenith,Zenith
AG Mobile,Zone,Zone,Zone
AG Mobile,Zoom,Zoom,Zoom
AGE (in),AGE,zhongshan,43F
AGE (in),Age,stanford,40D
AGE (in),India,tamachi,AGE FHD Android TV
AGE (in),India,yeongdeungpo,AGE UHD Android TV
AGM Mobile,AGM Glory G1,AGM_Glory_G1,AGM Glory G1
AGM Mobile,AGM Glory_G1S,AGM_Glory_G1S_EU,AGM Glory_G1S
AGM Mobile,AGM Glory_G1S,AGM_Glory_G1S_RU,AGM Glory_G1S
AGM Mobile,AGM Glory_G1S,AGM_Glory_G1S_US,AGM Glory_G1S
AGM Mobile,AGM H3,AGM_H3,AGM_H3
AGM Mobile,AGM H5,AGM_H5,AGM_H5
AGM Mobile,AGM_H5_PRO,AGM_H5_PRO,AGM_H5_PRO
AIDATA,ADT1012L,ADT1012L,ADT1012L
AIDATA,ADT1061,ADT1061,ADT1061
AIDATA,ADT1061_1,ADT1061_1,ADT1061_1
AIDATA,ADT_1061,ADT_1061,ADT_1061
AIS (Thailand),AISPLAYBOX,AISPLAYBOX,AISPLAYBOX
AIS (Thailand),AISPLAYBOX,B866V2-HA,AISPLAYBOX
AKOR,AKOR,TG1016,TG1016
AKOR,TG797,TG797,TG797
AKOR,TG996,TG996,TG996
ALBADEEL,B725050U,samseong,AI PONT
ALBADEEL,B725U,ikebukuro,AI PONT
ALBADEEL,Smart TV,longshan,AI PONT
ALBADEEL,Smart TV,redwood,AI PONT
ALMATEEN,LXL43G7H-AT,samseong,AI PONT
ALPHA_LING,A97GT,A97GT,A97GT
ALT.STYLEFOLDER,Style Folder,thor,AT-M120
AMGx13e,ASPE2201,ASPE2201,ASPE2201
AMTC,MD1001 Tablet,MD1001,MD1001
AMTC,MD7008,MD7008A,MD7008
AMTC,MD7081,MD7081A,MD7081
AMobile,PD470,PD470,PD470
ANAM,ANAM,seocho,ANAM 4K Android TV
ANDDORO,B7V1-STK,B7V1-STK,B7V1-STK
ANDRINO,Andrino,bangbae,andrino 4K Android TV
ANDRINO,Andrino,komagome,andrino 2K Android TV
ANEE,A1 Neo,A1_Neo,A1_Neo
ANS,L50,L50,L50
ANS,L51,L51,L51
ANS,Trailblazer,rugged-smartphone,H450R
ANS,UL40,UL40,UL40
ANXONIT,AnPad_U2,AnPad_U2,AnPad_U2
AOC,A110_E,A110_E,A110_E
AOC,A731,A731-N1,A731-N1
AOC,A731-N2,A731-N2,A731-N2
AOC,A741,A741,A741
AOC,A941,A941,A941
AOC,AOC,A731,A731
AOC,AOC,A731-H1,A731-H1
AOC,AOC,A732G,A732G
AOC,AOC,AOC_A831L-D,A831L-D
AOC,AOC Android TV,PH0M_EA_T32,AOC Android TV
AOC,Q10107L-ME,Q10107L-ME,Q10107L-ME
AOC,Q10107LW-ME,Q10107LW-ME,Q10107LW-ME
AOC,Q8108L-ME,Q8108L-ME,Q8108L-ME
AOSKEY,F11,F11,F11
AOSKEY,P21,P21,P21
AOYODKG,A21S,A21S,A21S
AOYODKG,A21S_US,A21S,A21S
AOYODKG,A7,A7,A7
AOYODKG,M50,M50,M50
AOYODKG,M50_EEA,M50_EEA,M50_EEA
AOYODKG,TAB-A8,TAB-A8,TAB-A8
AOpen,"RK3288 10"" Chromebase",tiger_cheets,AOpen Chromebase Mini
AOpen,RK3288 Mini Chromebox,fievel_cheets,AOpen Chromebox Mini
ARATEK,BM5500,BM5500,BM5500
ARATEK,Marshall-5,Marshall-5,Marshall-5
ARATEK,Marshall-8,Marshall-8,Marshall-8
ARBOR,G47,G47,G47
ARBOR,GT78-VN,GT78-VN,GT78-VN
ARMADILOS,Listo22,Listo22,Listo22
ARRQW,RO-55LCS,samseong,AI PONT
ARRQW,Saudi Arabia,tamachi,ARRQW FHD Android TV
ARRQW,Saudi Arabia,yeongdeungpo,ARRQW UHD Android TV
ASHER,Smart TV,longshan,AI PONT
ASHER,Smart TV,redwood,AI PONT
ASHIMA,OEM50ANDROID22/OEM55ANDROID22,songshan,SmartTV 4K
ASTCA,AA 787 S,SURGE_AA_787_S,AA 787 S
ASTECH,R3,R3,R3
ASTECH,R4,R4,R4
ASTECH,Senegal,tamachi,ASTECH FHD Android TV
ASTECH,Senegal,yeongdeungpo,ASTECH UHD Android TV
ASTON,IDEA,IDEA,IDEA
ASTON,NEO,NEO,NEO
AT&T,9020A,tint8_att,9020A
AT&T,AT&T Maestro™ Plus,v350u,V350U
AT&T,AT&T Motivate™ 2,EA211002,EA211002
AT&T,AT&T RADIANT™ Max 5G,EA211001,EA211001
AT&T,Pelican,EA211005,EA211005
AT&T,QS5509A,QS5509QL,QS5509A
AT&T,U202AA,U202AA,U202AA
AT&T,U304AA,U304AA,U304AA
AT&T,U318AA,U318AA,U318AA
AT&T,U319AA,U319AA,U319AA
AT&T,U626AA,U626AA,U626AA
AT&T,U705AA,U705AA,U705AA
ATEAM,A1010,A1010,A1010
ATEAM,A801,A801,A801
ATEC,APD3,APD3,APD3
ATID,AT908,AT908,AT908
ATID,AT908_EEA,AT908,AT908_EEA
ATILIM UNIVERSITY,ATILIM_mPAD07,ATILIM_mPAD07,ATILIM_mPAD07
ATM (Brazil),R5,R5,R5
ATM (Brazil),R5Plus,R5Plus,R5Plus
ATM (Brazil),R5_Pro,R5_Pro,R5 Pro
ATOL,Smart.Slim Plus,t50p,Smart_Slim_Plus
ATOL,Smart_Prime,t150,Smart_Prime
ATVIO,100011886BK,100011886BK,100011886BK
ATVIO,ATVIO,mid7015_mk_32,MID7015
ATVIO,MID1032,mid1032_mr_32,MID1032
AUPO,AUPO_Cute_75_EEA,AUPO_Cute_75,AUPO Cute 75
AUPO,AUPO_Zeus_10_Pro,AUPO_Zeus_10_Pro,AUPO_Zeus_10_Pro
AUPO,AUPO_Zeus_10_Pro_ROW,AUPO_Zeus_10_Pro_ROW,AUPO_Zeus_10_Pro
AURII,AURII ULTRA,AURII_ULTRA,AURII ULTRA
AURII,AURII_AMUSE_4G,AURII_AMUSE_4G,AURII_AMUSE_4G
AURII,AURII_FAME,AURII_FAME,AURII_FAME
AUZMAI,Mete8,Mete8,Mete8
AUZMAI,Mete8_EEA,Mete8_EEA,Mete8_EEA
AUZMAI,V60,Azumi_V60F,V60
AV,AV10,RCT6203W46,AV10
AV,AV7,RCT6773W22,AV7
AVA(USA),AVA-RM-RX1-EU,AVA-RM-RX1,RX1
AVANGARD,R3,R3,R3
AVANGARD,R4,R4,R4
AVATEL,DV8547_Avatel,DV8547-KSA,DV8547_Avatel
AVH San Luis S.A.,ActionKids3.0,ActionKids3_0,ActionKids3.0
AVH San Luis S.A.,Actionkids 3.0,Action_Kids_3,Action_Kids_3.0
AVH San Luis S.A.,Excer 10PRO,Excer_10_PRO,Excer_10_PRO
AVH San Luis S.A.,Excer G10,Excer_G10,Excer_G10
AVH San Luis S.A.,Excer G5.6,Excer_G5_6,Excer G5.6
AVH San Luis S.A.,ExcerG5.6,ExcerG5_6,ExcerG5.6
AVH San Luis S.A.,Excer_P1,Excer_P1,Excer_P1
AVH San Luis S.A.,Excer_T8,Excer_T8,Excer_T8
AVH San Luis S.A.,Vortech3.0,Vortech3_0,Vortech3.0
AVH San Luis S.A.,Vortech_3_0,Vortech_3_0,Vortech 3.0
AVITA,T101,T101,T101
AVITA,TS11A1,TS11A1,TS11A1
AWOW,AWOW_CreaPad_1001,AWOW_CreaPad_1001,AWOW_CreaPad_1001
AWOW,AWOW_CreaPad_1003,AWOW_CreaPad_1003_EEA,AWOW_CreaPad_1003_EEA
AWOW,CQA1019_EEA,CQA1019_EEA,CQA1019_EEA
AWOW,CreaPad_1002A,CreaPad_1002A,CreaPad_1002A
AWOW,CreaPad_1002A_EEA,CreaPad_1002A_EEA,CreaPad_1002A_EEA
AWOW,CreaPad_1005,CreaPad_1005,CreaPad_1005
AWOW,CreaPad_1005_EEA,CreaPad_1005_EEA,CreaPad_1005_EEA
AWOW,CreaPad_1009,CreaPad_1009,CreaPad_1009
AWOW,CreaPad_1009A,CreaPad_1009A,CreaPad_1009A
AWOW,CreaPad_1009A_EEA,CreaPad_1009A_EEA,CreaPad_1009A_EEA
AWOW,CreaPad_1009S,CreaPad_1009S,CreaPad_1009S
AWOW,CreaPad_1009S_EEA,CreaPad_1009S_EEA,CreaPad_1009S_EEA
AWOW,CreaPad_1009_EEA,CreaPad_1009_EEA,CreaPad_1009_EEA
AWOW,Funtab_801_I,Funtab_801_I,Funtab_801_I
AWOW,Funtab_801_K,Funtab_801_K,Funtab_801_K
AWOW,Funtab_801_K,Funtab_801_K_EEA,Funtab_801_K_EEA
AWOW,Futab_801_I,Funtab_801_I_EEA,Funtab_801_I_EEA
AWOW,MID-789A100-EEA,MID_789A100_EEA,MID-789A100-EEA
AWOW,MID_1085_EEA,MID_1085_EEA,MID_1085_EEA
AWOW,MID_1089IPS_EEA,MID_1089IPS_EEA,MID_1089IPS_EEA
AWOW,UTBook,UTBook,UTBook
AWOW,UTBook_EEA,UTBook_EEA,UTBook_EEA
AXON,Evolution,Evolution,Evolution
AXSTV,AXSTV130,SEI130PTS,AXSTV130
AXSTV,AXSTV530,SEI530PTS,AXSTV530
AXXA,AXXA S45,AXXA_S45,AXXA_S45
AXXA,AXXA S71,AXXA_S71,AXXA S71
AXXA,AXXA_S45_PLUS,AXXA_S45_PLUS,AXXA_S45_PLUS
AXXA,PRO,PRO,PRO
AYYA,T1,T1,AYYA T1
AZBox,AZDroid,AZDroid,AZDroid
AZOM TECH,Desert2,Desert2,Desert2
AZOM TECH,River1,River1,AZOM River 1
AZPEN,A1046G,A1046G,A1046G
AZPEN,A1052,A1052,A1052
AZPEN,A1080,mid1032_mk_32,A1080
AZPEN,A720,wing-inet,A720
AZPEN,A780,A780,A780
AZPEN,A780B,A780B,A780B
AZPEN,A920,wing-ibt,A920
AZPEN,C-603,C-603,C-603
AZPEN,G800,G800,G800
AZPEN,K749,K749,K749
AZPEN,K749B,K749B,K749B
Aamra WE,A10,A10,WE A10
Aamra WE,A50,A50,WE A50
Aamra WE,E2,E2,WE E2
Abocom,A08SM,A08,A08S
Aborder,Tanzania,guandu,Aborder 4K Android TV
Aborder,Tanzania,martin,Aborder 2K Android TV
Accent,Accent Camelon C5,CAMELEON_C5,CAMELEON_C5
Accent,Accent Camelon C6,CAMELEON_C6,CAMELEON_C6
Accent,Accent Camelon C6 Plus,CAMELEON_C6_PLUS,CAMELEON_C6_PLUS
Accent,C5,C5,C5
Accent,CAMELEON C5,CAMELEON_C5,CAMELEON C5
Accent,FAST10,FAST10,FAST10
Accent,FAST7,FAST7,FAST7
Accent,FAST7 3G,FAST7_3G,FAST7 3G
Accent,FAST73G,FAST73G,FAST73G
Accent,FAST_10,FAST_10,FAST_10
Accent,Fast17,Fast17,Fast17
Accent,Fasts7,Fasts7,Fasts7
Accent,KIDZY70,KIDZY70,KIDZY70
Accent,PEARL A4 Lite,PEARL_A4_Lite,PEARL A4 Lite
Accent,PEARL A6,PEARL_A6,PEARL A6
Accent,Pearl A4 PLUS,PEARL_A4_PLUS,PEARL A4 PLUS
Accent,Pearl_A4,Pearl_A4,Pearl A4
Accent,SPEED S8,SPEED_S8,SPEED_S8
Accent,TANK_P55,TANK_P55,TANK_P55
Access,fm502,fm502,fm502
Acegame S.A.,NEONHD/NEONGo,NEON,NEONHD/NEONGo
Acegame S.A.,One_Mundial,One_Mundial,One_Mundial
Acegame S.A.,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO
Acegame S.A.,SAPPHIRE_HDLT,SAPPHIRE_HDLT,SAPPHIRE_HDLT
Acegame S.A.,TitaniumColors,TitaniumColors,TitaniumColors
Acegame S.A.,TitaniumHD,TitaniumHD,TitaniumHD
Acepad,A121,A121,A121
Acepad,A130,A130,A130
Acepad,A140,A140,A140
Acepad,A145,A145,A145
Acepad,AX1,AX1,AX1
Acer,,C6,Acer E320
Acer,,C6,Acer E320-orange
Acer,,C7,E330
Acer,,C8n,E350
Acer,,K3,E130
Acer,,T2,AT390
Acer,,T603T,TD600
Acer,,a3,Stream
Acer,,a5,S300
Acer,,c4,E310
Acer,,k4,E140
Acer,,k5,E210
Acer,A1-713,acer_aprilia,A1-713
Acer,A1-734,acer_barricade,A1-734
Acer,A1-810,mango,A1-810
Acer,A1-811,mango,A1-811
Acer,A1-830,ducati,A1-830
Acer,A100,vangogh,A100
Acer,A101,vangogh,A101
Acer,A110,a110,A110
Acer,A3-A10,zara,A3-A10
Acer,A3-A11,zara,A3-A11
Acer,A3-A20,acer_harley,A3-A20
Acer,A3-A20FHD,acer_harleyfhd,A3-A20FHD
Acer,A3-A30,omega,A3-A30
Acer,A3-A40,acer_jetfirefhd,A3-A40
Acer,ACTAB1021_A,ACTAB1021_A,ACTAB1021_A
Acer,ACTAB1022,ACTAB1022,ACTAB1022
Acer,ACTAB10KB23,ACTAB10KB23,ACTAB10KB23
Acer,ACTAB1123,ACTAB1123,ACTAB1123
Acer,ACTAB1422,ACTAB1422,ACTAB1422
Acer,ACTAB721,ACTAB721,ACTAB721
Acer,ACTAB723,ACTAB723,ACTAB723
Acer,ACTAB821_A,ACTAB821_A,ACTAB821_A
Acer,AK330s,C8n,AK330S
Acer,AS10W,AS10W,AS10W
Acer,AS8W,AS8W,AS8W
Acer,ATAB1021E,ATAB1021E,ATAB1021E
Acer,ATAB1422E,ATAB1422E,ATAB1422E
Acer,ATAB721E,ATAB721E,ATAB721E
Acer,ATAB723E,ATAB723E,ATAB723E
Acer,ATAB821E,ATAB821E,ATAB821E
Acer,ATL1021EA,ATL1021EA,ATL1021EA
Acer,ATLTE1022,ATLTE1022,ATLTE1022
Acer,ATLTE1022E,ATLTE1022E,ATLTE1022E
Acer,Acer Chromebook 11 (C740),paine_cheets,Acer Chromebook 11 (C740)
Acer,Acer Chromebook R13,elm_cheets,Acer Chromebook R13 (CB5-312T)
Acer,Acer Holo360,acer_c01,C01
Acer,Acer One 10 T4-129L,AcerO10T4129L,Acer One 10 T4-129L
Acer,Acer One 10 T4-129L,AcerOne10T4129LIx,Acer One 10 T4-129LIx
Acer,Acer One 10 T4-129LI,AcerO10T412LI,Acer One 10 T4-129LI
Acer,Acer One 10 T8-129L,Acer_One_10_T8-129L,Acer_One_10_T8-129L
Acer,Acer One 7,Acer_One_7_4G,Acer One 7 4G
Acer,Acer One 7 4G,Acer_One_7_4G,Acer One 7 4G
Acer,Acer One 8 T4-82L,AcerOne8T4-82Lxi,Acer One 8 T4-82L
Acer,Acer One 8 T4-82L,AcerOne8T482L,Acer One 8 T4-82L
Acer,Acer_A60,Acer_A60,A60
Acer,Acer_A61L,Acer_A61L,A61L
Acer,Acer_one_8_T2,Acer_one_8_T2,Acer_one_8_T2
Acer,Android TV,R1,ATV R1
Acer,Android TV,R2,ATV R2
Acer,Aspire A3,aa3-600,AA3-600
Acer,B1-710,B1-710,B1-710
Acer,B1-711,B1-711,B1-711
Acer,B1-720,b1-720,b1-720
Acer,B1-721,b1-721,b1-721
Acer,B1-723,oban,B1-723
Acer,B1-730,vespatn,B1-730
Acer,B1-730HD,vespa,B1-730HD
Acer,B1-733,acer_barricade_3G,B1-733
Acer,B1-780,acer_barricadewifi,B1-780
Acer,B1-790,acer_barricadewifi,B1-790
Acer,B1-820,citizen,B1-820
Acer,B1-850,Frenzy,B1-850
Acer,B1-A71,B1-A71,B1-A71
Acer,B3-A30,acer_jetfirehd,B3-A30
Acer,B3-A32,acer_jetfirelte,B3-A32
Acer,B3-A40,acer_asgard,B3-A40
Acer,B3-A40FHD,acer_asgardfhd,B3-A40FHD
Acer,Baymax,Baymax,EUT110-11A
Acer,C01,acer_c01,C01
Acer,C01 (PA),acer_c01,C01
Acer,CW01,acer_cw01,CW01
Acer,Chromebook 14 for work,lars_cheets,Acer Chromebook 14 for Work (CP5-471)
Acer,Chromebook 14 for work,lars_cheets,Chromebook 14 for work (CP5-471)
Acer,Chromebook 15 (CB3-532),banon_cheets,Acer Chromebook 15 (CB3-532)
Acer,Chromebook 15 (CB5-571),yuna_cheets,Acer Chromebook 15 (C910 / CB5-571)
Acer,Chromebook 15 (CB5-571),yuna_cheets,Acer Chromebook 15 (CB5-571)
Acer,Chromebook 15 (CB5-571),yuna_cheets,Acer Chromebook 15 (CB5-571, C910)
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,Acer Chromebook 15 (CB515-1H, CB515-1HT)
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,Chromebook 15 (CB515 - 1HT / 1H)
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,Chromebook 15 CB515-1HT/1H
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,sand
Acer,Chromebook R11 (C738T),cyan_cheets,Acer Chromebook R11
Acer,Chromebook R11 (C738T),cyan_cheets,Acer Chromebook R11 (CB5-132T / C738T / CB3-132)
Acer,Chromebook R11 (C738T),cyan_cheets,Acer Chromebook R11 (CB5-132T / C738T)
Acer,Chromebook R11 (C738T),cyan_cheets,Acer Chromebook R11 (CB5-132T, C738T)
Acer,Chromebook Tab 10,scarlet_cheets,scarlet
Acer,CloudMobile S500,a9,S500
Acer,DA220HQL,DA220HQL,DA220HQL
Acer,DA221HQL,da1,DA221HQL
Acer,DA222HQL,da2,DA222HQL
Acer,DA222HQLA,da2,DA222HQLA
Acer,DA222HQLA,da222hqla,DA222HQLA
Acer,DA223HQL,da3,DA223HQL
Acer,DA226HQ,da6,DA226HQ
Acer,DA241HL,DA241HL,DA241HL
Acer,DA245HQL,da245hql,DA245HQL
Acer,E380,acer_e3n,E380
Acer,G1-715,G1-715,G1-715
Acer,G100W,maya,G100W
Acer,GT-810,rolex,GT-810
Acer,I110,I1,I110
Acer,Icona One 7,vespa,B1-730HD
Acer,Iconia One 10,acer_Colnago,B3-A50
Acer,Iconia One 10,acer_ColnagoFHD,B3-A50FHD
Acer,Iconia One 10,acer_jetfirelte,B3-A32
Acer,Iconia One 10,corona,B3-A20
Acer,Iconia One 10,corona,B3-A20B
Acer,Iconia One 7,G1-725,G1-725
Acer,Iconia One 7,acer_Vulcan,B1-7A0
Acer,Iconia One 7,acer_barricadewifi,B1-790
Acer,Iconia One 7,vespa,B1-730HD
Acer,Iconia One 7,vespa2,B1-750
Acer,Iconia One 7,vespatn,B1-730
Acer,Iconia One 8,acer_FrenzyRefresh,B1-860A
Acer,Iconia One 8,acer_Zipp,B1-870
Acer,Iconia One 8,vespa8,A1-850
Acer,Iconia One 8,vespa8,B1-810
Acer,Iconia Tab 10,acer_Titan,A3-A50
Acer,Iconia Tab 10,acer_asgard,B3-A40
Acer,Iconia Tab 10,acer_asgardfhd,B3-A40FHD
Acer,Iconia Tab 10,acer_harley,A3-A20
Acer,Iconia Tab 10,acer_harleyfhd,A3-A20FHD
Acer,Iconia Tab 10 (AsgardLTE),acer_asgardlte,B3-A42
Acer,Iconia Tab 7,acer_aprilia,A1-713
Acer,Iconia Tab 7,acer_apriliahd,A1-713HD
Acer,Iconia Tab 8,ducati2fhd,A1-840FHD
Acer,Iconia Tab 8,ducati2hd,A1-840
Acer,Iconia Tab 8,ducati2hd3g,A1-841
Acer,Iconia Tab A100 (VanGogh),vangogh,A100
Acer,Iconia Tab A100 (VanGogh),vangogh,A101
Acer,Iconia Tab A200,picasso_e,A200
Acer,Iconia Tab A210,picasso_e2,A210
Acer,Iconia Tab A211,picasso_e2,A211
Acer,Iconia Tab A500,picasso,A500
Acer,Iconia Tab A501,picasso,A501
Acer,Iconia Tab A510,picasso_m,A510
Acer,Iconia Tab A511,picasso_m,A511
Acer,Iconia Tab A700,picasso_mf,A700
Acer,Iconia Tab A701,picasso_mf,A701
Acer,Iconia TalkTab 7,acer_a1_724,A1-724
Acer,J73G,J73G,J73G
Acer,Liquid,a1,Acer Liquid
Acer,Liquid,a1,Acer S100
Acer,Liquid,a1,Liquid
Acer,Liquid 200,acer_z200,Z200
Acer,Liquid C1,I1,I110
Acer,Liquid E1,C10,V360
Acer,Liquid E2,C11,V370
Acer,Liquid E3,acer_e3,E380
Acer,Liquid E3,acer_e3n,E380
Acer,Liquid E3S,acer_ZXR,Z130
Acer,Liquid E600,e600,E600
Acer,Liquid E700,acer_e39,E39
Acer,Liquid Gallant E350,C8,AK330
Acer,Liquid Gallant E350,C8,E350
Acer,Liquid Jade,acer_S55,S55
Acer,Liquid Jade 2,acer_s58a,S58A
Acer,Liquid Jade S,acer_S56,S56
Acer,Liquid Jade Z,acer_S57,S57
Acer,Liquid Mini,C4R,E310
Acer,Liquid S1,a10,S510
Acer,Liquid S2,a12,S520
Acer,Liquid S3,s3,S53
Acer,Liquid T2,acer_T02,T02
Acer,Liquid X1,s3,S53
Acer,Liquid X2,acer_S59,S59
Acer,Liquid Z200,acer_z200,Z200
Acer,Liquid Z205,acer_z205,Z205
Acer,Liquid Z205,acer_z205p,Z205
Acer,Liquid Z205,acer_z205p,Z205P
Acer,Liquid Z220,z220,Z220
Acer,Liquid Z3,ZX,Z130
Acer,Liquid Z3,acer_ZXR,Z130
Acer,Liquid Z320,T012,T012
Acer,Liquid Z330,T01,T01
Acer,Liquid Z4,acer_Z6,Z160
Acer,Liquid Z410,acer_z410,Z410
Acer,Liquid Z5,acer_ZXL,Z150
Acer,Liquid Z500,acer_Z500,Z500
Acer,Liquid Z520,acer_z520,Z520
Acer,Liquid Z530,acer_T02,T02
Acer,Liquid Z530S,acer_t05,T05
Acer,Liquid Z6,acer_t09,T09
Acer,Liquid Z6 Plus,acer_t11,T11
Acer,Liquid Z630,acer_t03,T03
Acer,Liquid Z630S,acer_t04,T04
Acer,Liquid Z6E,acer_t10,T10
Acer,Liquid Zest,acer_t06,T06
Acer,Liquid Zest 4G,acer_t07,T07
Acer,Liquid Zest Plus,acer_t08,T08
Acer,LiquidMT,a4,Acer Liquid Metal
Acer,LiquidMT,a4,Liquid MT
Acer,LiquidMT,a4,Liquid Metal
Acer,M3-2200,da2,M3-2200
Acer,MWND1,MW1,MWND1
Acer,N3-2200,da2,N3-2200
Acer,Picasso,picasso,A501
Acer,Picasso,ventana,A500
Acer,Picasso,ventana,G100W
Acer,Picasso,ventana,TPA60W
Acer,R3,R3,R3
Acer,R4,R4,R4
Acer,TA2,ta2,TA272HUL
Acer,TA272HUL,ta2,TA272HUL
